Intento,Promedio
0,6.644
1,6.592
2,6.656
3,6.686
4,6.644
5,6.733
6,6.741
7,6.595
8,6.661
9,6.637
10,6.591
11,6.689
12,6.548
13,6.633
14,6.668
15,6.709
16,6.693
17,6.654
18,6.681
19,6.659
20,6.637
21,6.661
22,6.68
23,6.634
24,6.62
25,6.607
26,6.612
27,6.605
28,6.666
29,6.622
30,6.675
31,6.685
32,6.596
33,6.663
34,6.649
35,6.664
36,6.622
37,6.646
38,6.699
39,6.613
40,6.683
41,6.733
42,6.622
43,6.717
44,6.629
45,6.617
46,6.689
47,6.66
48,6.686
49,6.689
50,6.722
51,6.708
52,6.683
53,6.542
54,6.709
55,6.692
56,6.688
57,6.645
58,6.706
59,6.61
60,6.681
61,6.694
62,6.677
63,6.704
64,6.702
65,6.648
66,6.65
67,6.683
68,6.678
69,6.755
70,6.609
71,6.656
72,6.671
73,6.649
74,6.65
75,6.658
76,6.742
77,6.666
78,6.67
79,6.662
80,6.668
81,6.618
82,6.699
83,6.712
84,6.696
85,6.551
86,6.723
87,6.739
88,6.69
89,6.669
90,6.656
91,6.618
92,6.611
93,6.708
94,6.704
95,6.657
96,6.66
97,6.728
98,6.601
99,6.761
100,6.683
101,6.613
102,6.692
103,6.66
104,6.638
105,6.624
106,6.719
107,6.703
108,6.763
109,6.725
110,6.723
111,6.644
112,6.686
113,6.686
114,6.508
115,6.652
116,6.754
117,6.663
118,6.679
119,6.747
120,6.654
121,6.615
122,6.702
123,6.636
124,6.567
125,6.639
126,6.654
127,6.687
128,6.659
129,6.692
130,6.654
131,6.654
132,6.625
133,6.6
134,6.647
135,6.651
136,6.67
137,6.694
138,6.549
139,6.654
140,6.712
141,6.584
142,6.631
143,6.65
144,6.687
145,6.614
146,6.641
147,6.596
148,6.676
149,6.78
150,6.637
151,6.613
152,6.671
153,6.648
154,6.639
155,6.598
156,6.68
157,6.684
158,6.643
159,6.687
160,6.632
161,6.663
162,6.645
163,6.695
164,6.695
165,6.684
166,6.623
167,6.695
168,6.592
169,6.666
170,6.618
171,6.609
172,6.686
173,6.644
174,6.7
175,6.64
176,6.679
177,6.66
178,6.722
179,6.701
180,6.69
181,6.683
182,6.689
183,6.728
184,6.563
185,6.705
186,6.678
187,6.618
188,6.702
189,6.766
190,6.624
191,6.715
192,6.739
193,6.69
194,6.663
195,6.753
196,6.637
197,6.732
198,6.703
199,6.779
200,6.598
201,6.552
202,6.724
203,6.646
204,6.646
205,6.702
206,6.702
207,6.674
208,6.723
209,6.655
210,6.676
211,6.626
212,6.615
213,6.685
214,6.71
215,6.716
216,6.678
217,6.671
218,6.707
219,6.637
220,6.618
221,6.741
222,6.668
223,6.636
224,6.606
225,6.718
226,6.681
227,6.626
228,6.583
229,6.689
230,6.628
231,6.624
232,6.77
233,6.663
234,6.615
235,6.615
236,6.624
237,6.647
238,6.715
239,6.677
240,6.687
241,6.64
242,6.63
243,6.688
244,6.689
245,6.697
246,6.603
247,6.687
